,J,K,M,dg,seed,mse_deep,mae_deep,mse_rcl,mae_rcl,mse_mnl,mae_mnl,mse_single,mae_single,mse_random,mae_random
0,10,0,200,rcl_mix,7456,0.0006787322662268464,0.0010389561524448048,0.005047758318011393,0.00655411693488474,0.027641007462184664,0.021963785695291605,0.014234813747942722,0.020781544135774512,0.023915171718266928,0.03369749373277947
0,10,0,200,rcl_mix,145609,0.0007721646735977433,0.0010302032073187836,0.004181645653780669,0.005425016748073959,0.03144513731967916,0.01965534931451829,0.012205452658139207,0.0171537156765355,0.01974808801431167,0.02876239032722749
0,10,0,200,rcl_mix,214341,0.00100958687624424,0.0008729829473149009,0.00422646149245479,0.005431211234454172,0.03158064728719287,0.02039822172188983,0.014491155419837249,0.019855076399767347,0.020097595118346617,0.029811369403564682
0,10,0,200,rcl_mix,237639,0.0008362289625493641,0.0012039898048910949,0.0038141111593444905,0.005133086635923915,0.034048806565269346,0.018176693035121327,0.012587887958113369,0.018035539234098945,0.017219028176164657,0.02542619861256575
0,10,0,200,rcl_mix,148649,0.0014337406933537017,0.0007528806694908933,0.002979567712211507,0.004061838887920786,0.04121496935530554,0.015916393565214158,0.011128960223932166,0.015509806123669598,0.01394696140495938,0.021162859189945867
0,10,0,200,rcl_mix,763490,0.0006515639706464681,0.000931119067368875,0.004131654005733164,0.005184767631405358,0.03231576603927869,0.01979414637872777,0.013564037831535668,0.018633876327899684,0.019923074322434,0.02975969843115133
0,10,0,200,rcl_mix,677253,0.0016424949888298737,0.00103128668739972,0.004607603691484587,0.0060624459022990814,0.027421757000278345,0.02286813941245998,0.01372552894798408,0.0190221021802717,0.023917900280078754,0.034535623937165
0,10,0,200,rcl_mix,560404,0.0006861985119613842,0.0008580072647969752,0.004122411653297595,0.005324256775784629,0.033989025933221374,0.018159756391064905,0.01132880317261765,0.015714234897335637,0.01815161479619748,0.026455355806658257
0,10,0,200,rcl_mix,591830,0.0008292422371987404,0.00115846065960555,0.003824228795810274,0.004709839333175476,0.033291618968673144,0.017458281207466456,0.01205119707510101,0.01732536671979484,0.01895205221303572,0.02643852297697851
0,10,0,200,rcl_mix,84947,0.001507777426573563,0.0010150238264406942,0.005088823302569542,0.005963072147429858,0.026706860888994023,0.02304556760576471,0.012891415673139789,0.018317965462354216,0.0267367058065584,0.03818515711578016
0,10,0,200,rcl_mix,26672,0.0006300468145230394,0.0008777719351563106,0.0037927276481148436,0.004752412177633707,0.03466263813587699,0.019161022800112257,0.01347973362991234,0.01961715625527243,0.01840456429367189,0.02842953559005473
0,10,0,200,rcl_mix,184535,0.0014211138931904254,0.0010094620793036572,0.006337859480635484,0.007406854401751175,0.026238742603736397,0.025327034481981273,0.013534821572921163,0.02126341726976567,0.02876364254447705,0.04130713022054156
0,10,0,200,rcl_mix,874369,0.0007866104534733757,0.0008889381154400694,0.003665564815324903,0.004758710502946204,0.0351361545647422,0.01730569799153768,0.013904810984997087,0.01862724252396179,0.01725877512640567,0.02473756535929828
0,10,0,200,rcl_mix,39876,0.000711069163575897,0.0009562009243568025,0.004774246433950178,0.0060819707733704605,0.02918131170177296,0.02120965650626517,0.013322682198289325,0.019334309784940544,0.022288825654024486,0.03133784463131721
0,10,0,200,rcl_mix,738836,0.0006619227852467241,0.0009255439229805022,0.004416749215001329,0.005541553841117079,0.028851845627709323,0.02041823944490455,0.01398535575106314,0.020170842066190423,0.02233300591299168,0.03225677299628012
0,10,0,200,rcl_mix,100589,0.0007703204073230428,0.0011497057397993088,0.0056928364607638105,0.007038282200277815,0.025651028017581626,0.026259065958071783,0.014076765405128358,0.02103933528452177,0.029722719939522385,0.04334262860864998
0,10,0,200,rcl_mix,812811,0.00047900500193514715,0.000642733062328715,0.002634827695051769,0.003635963871595208,0.04531567743441615,0.01436239276776061,0.01256784205468579,0.01606801058295362,0.012216970358132398,0.01798381528927579
0,10,0,200,rcl_mix,75122,0.0006778039949653334,0.00101847450011698,0.004693981042099049,0.00582780951549262,0.03035925439306607,0.021822174234334125,0.01214225838333244,0.018529737670141457,0.022037778054939415,0.032895057515719875
0,10,0,200,rcl_mix,182935,0.0007297142031734802,0.001008051009539102,0.005149757541880449,0.006548752908352599,0.027683452070763268,0.023067179173138507,0.013481416376840957,0.018088650152590723,0.025063702270348372,0.03627526397465821
0,10,0,200,rcl_mix,911677,0.0007089847963296334,0.0010458356594488004,0.004736706426609337,0.005924103502038757,0.030170894260913662,0.021557712564466338,0.011636010716547709,0.017009481924427354,0.02248032460306022,0.03354074641089697
