,J,K,M,dg,seed,mse_deep,mae_deep,mse_rcl,mae_rcl,mse_mnl,mae_mnl,mse_single,mae_single,mse_random,mae_random
0,10,10,200,rcl,7456,0.01591449202766187,0.020934978755538538,0.00298610465831578,0.003964383228342383,0.02439101837798778,0.03103759237116601,0.0427244305472486,0.0555034775499295,0.040650335858505963,0.05164013155993614
0,10,10,200,rcl,145609,0.016820851944968705,0.02253482710617364,0.003452360731743711,0.0041428668634250435,0.024687301742088365,0.030693555928629917,0.04232289326117963,0.05405577616199117,0.0399152250681535,0.04984364296884777
0,10,10,200,rcl,214341,0.00035213568222930273,0.01410212704369695,1.5942889443873304e-05,0.003199540502862902,0.0011264685335206407,0.027000357304163433,0.003768898299197084,0.04656862100789087,0.002789335427814157,0.04344817724147296
0,10,10,200,rcl,237639,0.0003441525938664132,0.013893628288149516,1.7508195636021325e-05,0.0033084315484594815,0.0011155726554043976,0.02652810797136943,0.003359670637904153,0.04230878227072555,0.0026323501767259606,0.04111746656772944
0,10,10,200,rcl,148649,0.0004170715911609198,0.015361657672752514,1.4402061918670985e-05,0.003021643621959595,0.000949060763451364,0.02476651765535994,0.0032651623504128106,0.04434998403728397,0.002656003280335077,0.04175169582735551
0,10,10,200,rcl,763490,0.00039660125301003464,0.015091490319375374,1.4271614945240069e-05,0.0029928386482917122,0.0009321429244878888,0.02380159378734402,0.0032181949613811866,0.04371002471091547,0.0025475109638627867,0.04108489895476405
0,10,10,200,rcl,677253,0.0003172775810933899,0.013765958034462168,1.4763257790994903e-05,0.003073557049167203,0.0009937953717668855,0.02499674926677942,0.0031609225285924047,0.04414098283863898,0.002592550499681854,0.04121611442782689
0,10,10,200,rcl,560404,0.00032904540695938826,0.013688534460824332,1.3778125886974895e-05,0.0029600284074798315,0.0008879673441103078,0.023964533342987728,0.0030411070756971048,0.043441307167733395,0.002461981385649834,0.04037555440289389
0,10,10,200,rcl,591830,0.0003297791800557047,0.01372513820936972,1.578574685379056e-05,0.0032204459722848184,0.0010277564940395511,0.025186920111742568,0.002869295971707409,0.0398945748502984,0.002870689377374696,0.04171267109347527
0,10,10,200,rcl,84947,0.0003155801584287382,0.0135841800704975,1.5442672676138386e-05,0.003124513450742516,0.0009504199948016603,0.02454038732933614,0.002845457181294317,0.04054069497310035,0.0020874349893252194,0.03614627852837307
0,10,10,200,rcl,26672,0.0003082340411196496,0.013190410748121155,1.3552636607910498e-05,0.002950104091074364,0.0009272018914031183,0.023844404424694793,0.0032364636240852975,0.04348793482899497,0.0025928424143888034,0.0418197826080088
0,10,10,200,rcl,184535,0.0003432580964525435,0.013704345598206259,1.4889899251504118e-05,0.0030794645153730937,0.0008572694274831499,0.023574794340630322,0.0032167157304535464,0.04410103708783011,0.0023487725617329282,0.03954874131535899
0,10,10,200,rcl,874369,0.00031523585908405745,0.013835302676005754,1.8849591780448126e-05,0.0034620333303755167,0.0009778240833862683,0.024770429734717405,0.0027880213936286634,0.04209567811655293,0.0025207530837272553,0.04113513238964222
0,10,10,200,rcl,39876,0.00038791919072001126,0.014548594946505383,1.7207323294705595e-05,0.0033197073131162823,0.0010417010171546624,0.0256463570702188,0.0036428643411985117,0.04655037022413917,0.0028625388793542933,0.04262800297705937
0,10,10,200,rcl,738836,0.0003396236699188672,0.013656353477269116,1.767922684800889e-05,0.003365219365695474,0.0011198981914932364,0.026070992158154418,0.003406337559044556,0.04518990341154339,0.0029477830698996354,0.043708525604422066
0,10,10,200,rcl,100589,0.0003974329630146803,0.014935061391538445,1.692315599123627e-05,0.003283289650452742,0.001027034648902583,0.0253213418686889,0.003058193467650574,0.04171542036394678,0.0026631765931290313,0.04196431895689903
0,10,10,200,rcl,812811,0.000327724910772958,0.01399110376499233,1.4846237409988778e-05,0.003080701555419265,0.0010486489478196378,0.02528244607612252,0.003120196698839075,0.04268593230813867,0.0026897198001029853,0.040469723077289216
0,10,10,200,rcl,75122,0.0003762492401067169,0.014851921322456692,1.9292690248521034e-05,0.00347203824846019,0.0010345505330614764,0.026447502864635913,0.0033214523413682513,0.044561109698067175,0.0026190817483250106,0.041802123295151095
0,10,10,200,rcl,182935,0.000349693366019081,0.014313055100750134,1.731576013267849e-05,0.0033668697831222227,0.001063753293394486,0.02585768091077298,0.0024677567287602342,0.038537291928196556,0.0025462596961500295,0.039598547860086736
0,10,10,200,rcl,911677,0.00036089011234857494,0.013971430517599052,1.7490801230438388e-05,0.003308198071571321,0.0012519930813997737,0.027848346581970967,0.002924543357439603,0.042038507805674356,0.002776331958032501,0.041977705505771123
