,J,K,M,dg,seed,mse_deep,mae_deep,mse_rcl,mae_rcl,mse_mnl,mae_mnl,mse_single,mae_single,mse_random,mae_random
0,20,10,100,mnl_choice,7456,0.0028624840687869546,0.01947883572101593,4.782469009350582e-05,0.002727593262919056,1.8495472218043688e-05,0.0015720214976706016,0.029667311506684068,0.07158073975948015,0.02301456505,0.0784225
0,20,10,100,mnl_choice,145609,0.003364415670959702,0.020457722124099735,3.2979041442382245e-05,0.002746469475329809,7.877677558987e-06,0.0012483387757153252,0.02812017567689791,0.07092131755393744,0.020344583099999997,0.075085
0,20,10,100,mnl_choice,214341,0.003160435181198529,0.020450507509231566,3.55109459701915e-05,0.0029403447690772512,3.76678981853849e-05,0.0026740092656025493,0.0293440903061125,0.07220030022853235,0.019596569299999998,0.0736815
0,20,10,100,mnl_choice,237639,0.003935036741123573,0.0192922295498848,2.387111713761938e-05,0.002104620478239218,1.218189293419561e-05,0.001378279688914866,0.030353282707524416,0.07478161851975276,0.025269595809,0.079586235
0,20,10,100,mnl_choice,148649,0.0038777349241333305,0.020596427528858183,1.5602619452798505e-05,0.0016541894121677484,8.782609075073422e-06,0.0012892240319428469,0.029934422610784894,0.07320997994217678,0.023161822700191403,0.07836969375000001
0,20,10,100,mnl_choice,763490,0.0017312360541310362,0.014816705793380737,2.8997674469648257e-05,0.0024708767524872686,1.916781332535679e-05,0.0016858803636409492,0.025364612324940992,0.06467494452569618,0.021118098699999997,0.0743075
0,20,10,100,mnl_choice,677253,0.005785974928699002,0.025565050697326664,6.019808101018296e-05,0.002708177911327692,5.373825383677821e-05,0.00208447346562046,0.029096274907036,0.06648358219110896,0.022469078624999996,0.07622325
0,20,10,100,mnl_choice,560404,0.002143146295410512,0.015048261733055115,1.9077490040179378e-05,0.001868740187683679,7.705738289462021e-06,0.0011809832582376255,0.032554032154712996,0.07436589558124579,0.024899246450015625,0.079679909375
0,20,10,100,mnl_choice,591830,0.003290130093727488,0.022460604443073275,3.578424096170014e-05,0.0027564905617891797,2.5834539975536703e-05,0.001798222083937479,0.022551993752587155,0.06156579997053489,0.019590991250000002,0.07202850000000001
0,20,10,100,mnl_choice,84947,0.002078556398769702,0.013009066811561585,1.8797471613048266e-05,0.0018535270649376475,8.223807350701429e-06,0.0012330282856351873,0.027736096684781372,0.06697171690179514,0.022899586049999997,0.07814199999999999
0,20,10,100,mnl_choice,26672,0.003250508081489193,0.020614016901016233,2.024399087013677e-05,0.0020404608063059144,1.3514907122012007e-05,0.0015479559674452447,0.022520683461813417,0.06587897020071562,0.01898669065,0.0739545
0,20,10,100,mnl_choice,184535,0.0012826288685790052,0.013217151510715484,2.2685383261171762e-05,0.00196079643382686,6.448557908510737e-06,0.0011764053557636954,0.03975731126484226,0.08322004634819737,0.026903910149999995,0.0802785
0,20,10,100,mnl_choice,874369,0.006698975778738208,0.02517032367420197,2.1060399517341693e-05,0.0021238141121372057,1.341690536209316e-05,0.0016757381606215323,0.027445624642627987,0.06719090982340026,0.02138833875000391,0.0758774578125
0,20,10,100,mnl_choice,39876,0.0021569081171420547,0.01641248268651962,3.830485072442119e-05,0.0029813054560915504,1.4235106692340338e-05,0.0014311459913737385,0.028666903748345084,0.06857988768735518,0.020581569199999997,0.0711125
0,20,10,100,mnl_choice,738836,0.004168888287568095,0.019781662510395048,3.0455652023700496e-05,0.0022268617414834134,1.1560750560466014e-05,0.001382620172553555,0.026346866449321178,0.06705610744718149,0.023219638149999996,0.078877
0,20,10,100,mnl_choice,100589,0.002344907340176204,0.018101096655368805,5.244716323554854e-05,0.0031765599872787564,1.8861236081672353e-05,0.0018392107651161132,0.024578069825115914,0.061909100294460596,0.01865487935,0.074025
0,20,10,100,mnl_choice,812811,0.006136444144302697,0.023458340776920317,1.6453980683148393e-05,0.0017792283491898492,9.477729084768559e-06,0.0013429767325139172,0.034545121878939045,0.0703994292533046,0.027090609749999998,0.07918050000000001
0,20,10,100,mnl_choice,75122,0.0030927507754551875,0.01832924376487732,1.9137171733444427e-05,0.0017342845495745152,5.98485373683791e-06,0.0010639932528813318,0.03417627456651359,0.07709860404799165,0.0261147939,0.08090199999999999
0,20,10,100,mnl_choice,182935,0.004485664998332635,0.02122395393466949,2.610411313256283e-05,0.0019963026347994306,1.495503439032883e-05,0.001396873555845689,0.03580850413085582,0.07358846490759456,0.024783073399999994,0.079554
0,20,10,100,mnl_choice,911677,0.00404333955483207,0.01994586957883835,1.8114511699428346e-05,0.0020910461848752835,8.001590344805455e-06,0.0012864500364162185,0.03504644984637204,0.08232094236138049,0.0218005903,0.076601
